word,party,text,speaker,partisan_score
rights,D,We know that there are far too many potential biases within AI technologies that could unfairly impact people of color. I am committed to advancing bipartisan legislation that protects all Americans and will protect civil rights in the age of AI.,"Schumer, Charles ",-0.23782850833812147
rights,D,"As the use of AI grows, I want to make sure workers' rights are protected. That means making sure management decisions have to be made off by humans and technology can't be used to spy on workers.","Casey, Robert Jr.",-0.2285286450283095
rights,R,"Google refused to work with the U.S. military on artificial intelligence, yet had no problem opening up an AI research center in #China. The authoritarian #CCP uses AI for mass surveillance operations &amp; human rights abuses. Helping China's AI is wrong!",Michael Waltz R-FL,0.15082250069801809
rights,R,"Last week, Chairman @RepGallagher called for @CommerceGov to investigate @G42ai (a multi-billion dollar AI firm based in the UAE) for its extensive ties to the Chinese military. “G42’s CEO Peng Xiao operates and is affiliated with an expansive network of UAE and PRC-based companies that develop dual-use technologies and materially support PRC military-civil fusion and human rights abuses.”","Gallagher, Mike",0.14528580551998566
safety,D,"Like @OpenAI has said, its technology holds immense promise and extraordinary potential risk. So it’s critical that it lives up to its safety commitments and allows employees to raise concerns about its practices.","Schatz, Brian",-0.19398645698425382
safety,D,"Instead of listening to concerned employees, OpenAI has shut down internal voices to prioritize profits over safety. @SenWarren and I are calling for answers.","Trahan, Lori",-0.17096839132670574
safety,R,"Artificial Intelligence is advancing at breakneck speed. Congress must constantly be checking its developments to allow for competition and innovation, while also ensuring the rights and safety of the American people.","Buck, Ken",0.11067532289066279
safety,R,We must understand AI to use it to its fullest potential. I am working to set guardrails to ensure the safety of our future & the new opportunities that come along with it.,"Molinaro, Marcus",0.07607055629945725
regulation,D,"It’s time to get serious about AI regulation, and I’m ready to do that in a bipartisan way. @JerryMoran and I are taking steps towards sensible guardrails around AI.","Warner, Mark ",-0.17571553679942392
regulation,D,"Unless we get serious about AI regulation, we’re going to face an unprecedented set of threats to our elections, economy, public trust in news, and more. The power to regulate AI lies with Congress, and I’m focused on getting it right.","Warner, Mark ",-0.1523153184108421
regulation,R,"This week, the @housescience held a hearing on artificial intelligence. I am all for advancing AI because of the vast and great potential it has to benefit American society. However, there needs to be a balanced approach that encourages innovation without excessive regulation…","Kean, Thomas",0.08041436855710965
regulation,R,I was honored to address the Victorville Rotary Club to discuss our ongoing legislative work in Congress and my efforts to create a regulatory framework for artificial intelligence. Effective regulation of AI can protect consumers and intellectual property without stifling…,"Obernolte, Jay",0.07433718836839173
innovation,D,"Excited to announce $6M is heading to @CarnegieMellon to lead research ensuring AI protects privacy, jobs, & accountability. Pittsburgh continues to lead on tech innovation, making sure AI works for people—not against them.","Lee, Summer",-0.2722767293273096
innovation,D,So great to join the San Diego Regional Chamber of Commerce’s fireside chat on AI! AI has been a net job creator in San Diego and that's why I’m working to ensure there are guardrails that encourage innovation and growth while also protecting our safety and civil rights.,"Jacobs, Sara",-0.16332460945645672
innovation,R,"Modernizing our military is crucial to deterring our adversaries. The FY25 #NDAA promotes the advancement of AI innovation, ensuring we stay ahead of Communist China.","Fallon, Pat",0.1329268361133908
innovation,R,"Our goal is to ensure the United States maintains its leadership in AI innovation, enabling the American people to reap the substantial national security, economic, and societal benefits of an AI-driven future. You can read the AI Policy Roadmap here:","Young, Todd",0.12780931901895382
security,D,"I’m glad to see new companies join the Biden admin’s voluntary commitments on AI security and transparency. I’ve pushed for this repeatedly, including in a series of letters, and it’s another good step towards building a safer AI ecosystem.","Warner, Mark ",-0.1748207594902638
security,D,"The IRS was right to walk back their use of facial recognition technology, but we need to make sure Americans have permanent privacy and security protections. @RoyBlunt and I will introduce legislation soon that will permanently ban the IRS from using biometric recognition tech.",Jeff Merkley D-OR,-0.13774120350143582
security,R,"As the Chairman of the Cyber Subcommittee, I’ll have oversight of our nation’s Artificial Intelligence research and development when it comes to national security. We must outpace our adversaries here for national security but also for economic reasons.","Bacon, Don",0.14697094297012622
security,R,"NOT National Security The #Biden $280 billion CHIPS bill ignores the REAL national security threat from China. ""Made in China 2025"" economic domination plan targets 10 U.S. manufacturing/technologies - robotics, AI, biotech, etc. CHIPS cedes 9 to China - no help. #Mistake",Kevin Brady R-TX,0.14424735051336202
