word,category,d_count,r_count,total_count,cosine_similarity,cosine_distance
safety,contested,78,26,104,0.9991926,0.0008074045
regulation,contested,34,11,45,0.9987377,0.0012623072
risk,contested,40,13,53,0.99909407,0.000905931
rights,contested,61,16,77,0.9986761,0.0013238788
security,contested,96,97,193,0.999734,0.00026601553
privacy,contested,94,43,137,0.99965245,0.00034755468
innovation,contested,130,103,233,0.99966395,0.000336051
jobs,contested,43,22,65,0.9993542,0.0006458163
technology,contested,348,165,513,0.999556,0.000443995
protect,contested,174,70,244,0.99978095,0.00021904707
transparency,contested,60,11,71,0.9985889,0.0014110804
today,control,229,128,357,0.99977785,0.00022214651
year,control,56,26,82,0.99936104,0.0006389618
congress,control,161,90,251,0.9996308,0.00036919117
bill,control,157,92,249,0.99974287,0.00025713444
act,control,277,144,421,0.99971396,0.0002860427
work,control,161,105,266,0.9996101,0.00038987398
time,control,73,27,100,0.99937683,0.00062316656
need,control,193,64,257,0.9997293,0.0002707243
american,control,90,95,185,0.9994908,0.0005092025
important,control,55,54,109,0.99948895,0.0005110502
