name,party,mean_score,std_score,tweet_count,chamber
Anthony Gonzalez R-OH,R,0.025756609193477647,0.05354894358053902,25,House
Ayanna Pressley D-MA,D,-0.14162851797954232,0.07550799492467243,12,House
"Bennet, Michael F.",D,-0.11692413809042072,0.06722486471445675,34,Senate
"Beyer, Don",D,-0.028842425618834076,0.05591813463525266,29,House
"Bilirakis, Gus ",R,0.009623730301936863,0.034407109701837885,10,House
Bill Foster D-IL,D,-0.013003042337450657,0.05387740133614342,12,House
"Blumenthal, Richard",D,-0.1005641224523518,0.055169401664707116,16,Senate
Bobby Rush D-IL,D,-0.0838322750867731,0.08436894024576795,16,House
"Brown, Shontel",D,-0.14148734956686798,0.049570116698930085,12,House
"Buck, Ken",R,0.01936544159267502,0.05600561228802301,17,House
"Butler, Laphonza",D,-0.10243332374049384,0.06455877773729421,16,Senate
"Cantwell, Maria",D,-0.04228372553625,0.04133977353257578,23,Senate
"Casey, Robert Jr.",D,-0.14735400144179078,0.08397342284815204,11,Senate
Catherine Masto D-NV,D,-0.028796683864341067,0.05445861007290639,15,Senate
"Clarke, Yvette ",D,-0.09477725521400367,0.06002517286872905,46,House
"Coons, Christopher ",D,-0.082028968631362,0.0556410402462618,52,Senate
"Cornyn, John",R,0.05846012056348545,0.06177563645678717,14,Senate
"Cruz, Ted",R,0.02169315074668073,0.0461701957193082,31,Senate
Dan Lipinski D-IL,D,-0.014846202134513847,0.04817141928223164,24,House
Darren Soto D-FL,D,-0.03834650428717869,0.06977157028106956,14,House
Debbie Dingell D-MI,D,-0.03546932018203956,0.061245026581243214,10,House
Don Bacon R-NE,R,0.047092263913441935,0.06339445490997904,10,House
"Donalds, Byron",R,-0.007537369217359084,0.06184621332914761,10,House
Ed Markey D-MA,D,-0.12202392092435888,0.07483621586911947,34,Senate
"Eshoo, Anna ",D,-0.02977034378181266,0.06813572791447367,16,House
"Espaillat, Adriano",D,-0.11343381885602408,0.059642974777650785,11,House
"Flood, Mike",R,0.0047256269627152835,0.06698600509671047,12,House
"Foster, Bill",D,-0.0501696691891595,0.04245491580271203,11,House
"Foushee, Valerie",D,-0.0737663845479542,0.05391518522953199,19,House
Fred Upton R-MI,R,-0.0037801255452334314,0.03637759596400367,12,House
Gary Peters D-MI,D,-0.05560366626890366,0.04968428578051117,14,Senate
Haley Stevens D-MI,D,-0.03521345627517157,0.05259806904512565,35,House
"Hawley, Josh",R,0.04762959059719099,0.06615414548511404,16,Senate
"Hickenlooper, John ",D,-0.07787939071846148,0.06325165743365985,40,Senate
Jacky Rosen D-NV,D,-0.03414327085300271,0.06415986786238898,15,Senate
"Jacobs, Sara",D,-0.10074946079296002,0.05871656626663012,10,House
Jeff Merkley D-OR,D,-0.07231660384588552,0.0684694554604801,17,Senate
Jennifer Wexton D-VA,D,-0.037096307622541194,0.041366729625554,11,House
Jim Banks R-IN,R,0.061080665946323116,0.056183902671814834,16,House
Jimmy Gomez D-CA,D,-0.08507006582616912,0.061332254640889344,19,House
"Kean, Thomas",R,0.030158545545070324,0.05546035810832651,29,House
"Kelly, Robin",D,-0.04259354362716964,0.07436169344218185,12,House
"Kilmer, Derek",D,-0.0703948551496166,0.04140034550510305,13,House
"Klobuchar, Amy",D,-0.11267516995309304,0.05013704111812751,21,Senate
"Lieu, Ted",D,-0.04197133704640966,0.05855603883008622,59,House
"Luján, Ben Ray",D,-0.08694705847921538,0.051293548766293565,13,Senate
"Mace, Nancy",R,0.01915340321857016,0.05221038915178844,18,House
"Markey, Edward ",D,-0.1065505149882127,0.07263665357318436,41,Senate
"Merkley, Jeff",D,-0.09290143372888492,0.06754692315147373,24,Senate
Michael Bennet D-CO,D,-0.008801736327223662,0.06896829534052776,10,Senate
Mike Doyle D-PA,D,-0.045044898579157736,0.05698295229071712,15,House
"Morelle, Joe",D,-0.08336363089414292,0.06428644731439981,49,House
"Obernolte, Jay",R,0.03613999686517537,0.0466065236992354,43,House
Pete Olson R-TX,R,0.030283659592992507,0.052525821640671974,15,House
"Peters, Gary ",D,-0.05339435431520851,0.05229922713625008,24,Senate
Pramila Jayapal D-WA,D,-0.14277298199014,0.058132233675955665,29,House
Rashida Tlaib D-MI,D,-0.1279209913337315,0.06240146081975917,17,House
Rick Larsen D-WA,D,-0.03153826638864191,0.03674357686072608,10,House
Ro Khanna D-CA,D,-0.03338731400614043,0.07851427517541637,11,House
Rob Portman R-OH,R,0.030527363934320477,0.04460045982098921,65,Senate
Robin Kelly D-IL,D,-0.040457642542721536,0.074659587419687,16,House
"Ross, Deborah",D,-0.05227783983061883,0.04631796073317279,13,House
"Rounds, Mike",R,0.038299918226650645,0.05251309295084807,45,Senate
"Salazar, Maria ",R,-0.053854554683030506,0.056654528800486374,11,House
"Schatz, Brian",D,-0.09367489362384528,0.06102690195628279,19,Senate
"Schiff, Adam",D,-0.08860636961911707,0.06482671388835884,14,House
"Scholten, Hillary",D,-0.08027974528877127,0.04020207914898409,13,House
"Schumer, Charles ",D,-0.08141728941916468,0.07086240749859506,49,Senate
"Soto, Darren",D,-0.05618015351478915,0.043324530091312284,14,House
Steve Womack R-AR,R,0.011955666193233164,0.04942793936845807,12,House
"Stevens, Haley",D,-0.05741784492762563,0.06520722072089534,34,House
Suzan DelBene D-WA,D,-0.04199905988208102,0.041082158821564414,14,House
Todd Young R-IN,R,0.04001365066173985,0.05888544983247977,15,Senate
"Warner, Mark ",D,-0.09318718617439828,0.06865607895434711,61,Senate
"Young, Todd",R,0.03978071106156248,0.05798559798283922,66,Senate
Yvette Clarke D-NY,D,-0.11881844492153112,0.061067447816487395,30,House
