word,pre_distance,post_distance,change,pct_change,pre_d,pre_r,post_d,post_r
safety,0.0016201138,0.0015595555,-6.055832e-05,-3.7379053,21,9,57,17
security,0.00051009655,0.0004670024,-4.3094158e-05,-8.4482355,35,47,61,50
privacy,0.0006274581,0.0005726218,-5.4836273e-05,-8.739432,41,14,51,29
innovation,0.0015845895,0.0003926754,-0.0011919141,-75.21911,43,19,85,83
technology,0.000693202,0.000459373,-0.00023382902,-33.731728,187,70,156,92
jobs,0.001120925,0.0020151138,0.0008941889,79.772415,15,12,27,10
today,0.00029277802,0.00037753582,8.4757805e-05,28.94951,96,41,132,87
congress,0.00068438053,0.0004749894,-0.00020939112,-30.595715,41,19,119,71
american,0.00067943335,0.0006516576,-2.7775764e-05,-4.088078,29,30,61,65
work,0.00045526028,0.0006722212,0.0002169609,47.656456,63,41,98,63
need,0.00078624487,0.00033408403,-0.00045216084,-57.50891,44,16,146,48
